[INFO ] [2020-12-03 21:28:57,620] Register - Step 01: Open Home Page
[INFO ] [2020-12-03 21:29:01,272] Register - Step 02: Click Gender Male radio button
[INFO ] [2020-12-03 21:29:01,621] Register - Step 03:Input to firstname Textbox with valueQuy
[INFO ] [2020-12-03 21:29:01,975] Register - Step 04:Input to lastname Textbox with valueDuong
[INFO ] [2020-12-03 21:29:02,118] Register - Step 05 select date/mon/year 
[INFO ] [2020-12-03 21:29:03,229] Register - Step 06: input email textbox with valuequyduong914@gmail.com
[INFO ] [2020-12-03 21:29:03,373] Register - Step 07: input company name textbox 
[INFO ] [2020-12-03 21:29:03,495] Register - Step 08: input password and confirm passoword with value :khongpass
[INFO ] [2020-12-03 21:29:03,825] Register - Step 09: Click to register button at page register
[INFO ] [2020-12-03 21:29:05,847] Register - Step 10: verify success display
[INFO ] [2020-12-03 21:29:06,032]  -------------------------- PASSED -------------------------- 
[INFO ] [2020-12-03 21:29:06,033] Register - Step 11: Click to logout link an navigate to Home Page
[INFO ] [2020-12-03 21:29:08,407] Login - Step 01:Click to login page
[INFO ] [2020-12-03 21:29:09,246] Login - Step 02: Input email with valuequyduong914@gmail.com
[INFO ] [2020-12-03 21:29:09,396] Login - Step 03:Input password with value khongpass
[INFO ] [2020-12-03 21:29:09,547] Login - Step 04: Click to login button 
[INFO ] [2020-12-03 21:29:09,825] Login - Step 05: verify accout login link 
[INFO ] [2020-12-03 21:29:11,024]  -------------------------- PASSED -------------------------- 
[INFO ] [2020-12-03 21:29:11,024] Login - Step 06: Verify logout link
[INFO ] [2020-12-03 21:29:11,256]  -------------------------- PASSED -------------------------- 
[INFO ] [2020-12-03 21:29:11,256] Login - Step 07: Verify register login undisplay link
[INFO ] [2020-12-03 21:29:21,365]  -------------------------- FAILED -------------------------- 
[INFO ] [2020-12-03 21:29:21,366] Login - Step 08:Verify Login login undisplay link
[INFO ] [2020-12-03 21:29:31,414]  -------------------------- FAILED -------------------------- 
